rank,company,gross_mm,net_mm,freight_types
54,Bison Transport,335.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
55,Ryder System,334.0,,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
55,Watco Logistics,334.0,49.0,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
57,Magellan Transport Logistics,,,"air/expedited, rail/intermodal, LTL, dry van truckload, flatbed/heavy haul"
58,Universal Logistics Holdings,,,"dry van truckload, flatbed/heavy haul"
59,Buchanan Logistics,323.0,,"rail/intermodal, dry van truckload, refrigerated, flatbed/heavy haul"
60,Johanson Transportation Service,312.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
61,Triple T Transport,311.0,40.0,"LTL, dry van truckload, refrigerated, flatbed/heavy haul"
62,Sunset Transportation,,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
63,Ease Logistics,287.0,32.0,"air/expedited, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
63,Covenant Logistics,287.0,43.0,"air/expedited, LTL, dry van truckload, refrigerated"
65,KCH Transportation,286.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
66,Direct Connect Logistix,,,"rail/intermodal, LTL, dry van truckload, refrigerated"
67,Freight Tec Management Group,,,"rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
68,Roar Logistics,270.0,30.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
69,Capstone Logistics,268.0,52.0,"LTL, dry van truckload, refrigerated"
70,Best Bay Logistics,265.0,27.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank, drayage"
71,TransLoop,255.0,,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
71,Trident Transport,255.0,40.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
73,Pepsi Logistics Company,241.0,25.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul"
74,Automated Logistics Systems,236.0,24.0,"air/expedited, LTL, dry van truckload, flatbed/heavy haul"
75,BBI Logistics,232.0,39.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
76,Bay & Bay Transportation,231.0,31.0,"air/expedited, rail/intermodal, LTL, dry van truckload, refrigerated, flatbed/heavy haul, bulk/tank"
